Country,City,AccentCity,Region,Population,Latitude,Longitude
ch,brutten,Brutten,25,,47.472637,8.676044
ch,bruttisellen,Bruttisellen,25,,47.42273,8.628655
ch,bubendorf,Bubendorf,03,,47.44586,7.737586
ch,bubikon,Bubikon,17,6160,47.267748,8.818391
ch,buchberg,Buchberg,01,,47.572502,8.558703
ch,buch,Buch,25,,47.55,8.633333
ch,buchen,Buchen,05,,46.583333,7.9
ch,buchen,Buchen,09,,46.933333,9.716667
ch,buchen,Buchen,15,,47.477479,9.541531
ch,buchholterberg,Buchholterberg,05,,46.813513,7.674629
ch,buchler,Buchler,15,,47.416667,9.5
ch,buchrain,Buchrain,11,5802,47.086016,8.346213
ch,buchs,Buchs,01,6397,47.387774,8.073525
ch,buchs,Buchs,10,10361,47.169856,9.47544
ch,buchthalen,Buchthalen,16,,47.697363,8.649922
ch,buhlen,Buhlen,14,,46.716774,8.098475
ch,buhler,Buhler,15,,47.373478,9.425456
ch,buhlruti,Buhlruti,21,,46.883333,8.516667
ch,buholz,Buholz,11,,47.080695,8.083989
ch,buix,Buix,26,,47.481098,7.030544
ch,bulach,Bulach,01,14776,47.518898,8.536967
